MSZoning,LotArea,Street,Neighborhood,BldgType,OverallQual,OverallCond,Exterior1st,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,SaleCondition,SalePrice
RL,39104,Pave,ClearCr,1Fam,7,7,Plywood,TA,TA,CBlock,Gd,TA,Gd,LwQ,226,GLQ,1063,96,1385,Y,1363,0,0,1363,1,0,1,0,2,1,TA,5,Mod,2,TA,Attchd,1954,Unf,2,439,TA,TA,Y,81,0,0,0,0,NA,NA,NA,0,4,Normal,241500
RL,11764,Pave,NoRidge,1Fam,8,7,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,524,Unf,0,628,1152,Y,1164,1106,0,2270,0,0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,1999,Fin,3,671,TA,TA,Y,132,57,0,0,0,NA,NA,NA,0,4,Normal,290000
RL,9600,Pave,NAmes,1Fam,6,6,Wd Sdng,TA,TA,CBlock,TA,TA,No,Rec,620,LwQ,620,0,1240,Y,1632,0,0,1632,1,0,2,0,3,1,TA,6,Min1,1,Gd,Attchd,1958,RFn,1,338,TA,TA,Y,289,0,0,0,0,NA,MnPrv,NA,0,4,Normal,139000
RL,8314,Pave,Mitchel,1Fam,5,7,HdBoard,TA,TA,CBlock,TA,TA,Gd,ALQ,546,Unf,0,270,816,Y,816,0,0,816,0,0,1,0,2,1,TA,5,Typ,0,NA,Attchd,1982,Unf,1,264,TA,TA,Y,168,0,0,0,0,NA,NA,NA,0,6,Normal,124500
RL,7264,Pave,BrkSide,1Fam,7,7,Wd Sdng,Gd,Gd,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,N,952,596,0,1548,0,0,2,1,3,1,Ex,5,Typ,0,NA,Detchd,1978,Unf,2,672,TA,TA,Y,74,0,0,144,0,NA,NA,NA,0,10,Normal,205000
RL,9196,Pave,Mitchel,1Fam,7,5,VinylSd,Gd,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1560,1560,Y,1560,0,0,1560,0,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2003,Fin,2,573,TA,TA,Y,100,150,0,0,0,NA,NA,NA,0,4,Normal,201000
RL,19138,Pave,Gilbert,1Fam,4,5,VinylSd,TA,TA,CBlock,TA,TA,No,LwQ,120,Unf,0,744,864,Y,864,0,0,864,0,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1951,Unf,2,400,TA,TA,Y,0,0,0,0,0,NA,NA,NA,0,6,Normal,141000
RL,14450,Pave,NridgHt,1Fam,9,5,CemntBd,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,2121,2121,Y,2121,0,0,2121,0,0,2,1,3,1,Ex,8,Typ,1,Ex,Attchd,2007,Fin,3,732,TA,TA,Y,124,98,0,142,0,NA,NA,NA,0,5,Partial,415298
RL,10005,Pave,ClearCr,1Fam,7,5,Plywood,TA,TA,CBlock,Gd,TA,No,BLQ,392,Unf,0,768,1160,Y,1156,866,0,2022,0,0,2,1,4,1,TA,8,Typ,1,TA,Attchd,1977,Fin,2,505,TA,TA,Y,288,117,0,0,0,NA,NA,NA,0,3,Normal,192000
RL,11287,Pave,SawyerW,1Fam,7,6,Plywood,Gd,TA,CBlock,Gd,TA,Av,GLQ,421,Unf,0,386,807,Y,1175,807,0,1982,0,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1989,Fin,2,575,TA,TA,Y,0,84,0,0,0,NA,NA,NA,0,1,Normal,228500
FV,7200,Pave,Somerst,1Fam,6,5,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,905,Unf,0,357,1262,Y,1262,0,0,1262,0,0,2,0,2,1,Gd,5,Typ,0,NA,Attchd,2006,Fin,2,572,TA,TA,Y,0,120,0,0,0,NA,NA,NA,0,5,Partial,185000
RL,5063,Pave,NridgHt,Twnhs,7,5,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,904,Unf,0,410,1314,Y,1314,0,0,1314,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2008,RFn,2,626,TA,TA,Y,172,62,0,0,0,NA,NA,NA,0,4,Normal,207500
RL,9612,Pave,Somerst,1Fam,8,5,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1468,1468,Y,1468,0,0,1468,0,0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2008,Fin,3,898,TA,TA,Y,210,150,0,0,0,NA,NA,NA,0,12,Partial,244600
RL,8012,Pave,SawyerW,TwnhsE,6,5,Plywood,Gd,TA,PConc,Gd,TA,No,GLQ,430,Unf,0,1145,1575,Y,1575,0,0,1575,1,0,2,0,2,1,Gd,5,Typ,0,NA,Attchd,1992,RFn,2,529,TA,TA,Y,0,0,52,0,0,NA,NA,NA,0,7,Normal,179200
FV,4251,Pave,Somerst,TwnhsE,7,5,MetalSd,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,625,625,Y,625,625,0,1250,0,0,2,1,2,1,Gd,5,Typ,0,NA,Detchd,2006,RFn,2,528,TA,TA,Y,0,54,0,0,0,NA,NA,NA,0,6,Partial,164700
RL,9786,Pave,NAmes,1Fam,6,7,Wd Sdng,TA,TA,CBlock,TA,TA,No,Rec,600,Unf,0,312,912,Y,1085,649,0,1734,0,0,1,1,3,1,Gd,7,Typ,1,Gd,Attchd,1962,RFn,2,440,TA,TA,Y,0,0,0,128,0,NA,GdPrv,NA,0,6,Normal,159000
RL,8125,Pave,NAmes,1Fam,4,4,HdBoard,TA,TA,CBlock,TA,TA,No,BLQ,614,Unf,0,244,858,Y,858,0,0,858,0,0,1,0,3,1,TA,5,Typ,0,NA,NA,NA,NA,0,0,NA,NA,Y,0,0,0,0,0,NA,NA,NA,0,6,Normal,88000
RL,9819,Pave,Sawyer,1Fam,5,5,MetalSd,TA,Gd,CBlock,TA,TA,No,BLQ,450,Unf,0,432,882,Y,900,0,0,900,0,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1970,Unf,1,280,TA,TA,Y,0,0,0,0,0,NA,MnPrv,NA,0,2,Normal,122000
RL,8730,Pave,BrkSide,1Fam,6,7,Wd Sdng,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,698,698,Y,698,698,0,1396,0,0,1,0,3,1,TA,7,Typ,0,NA,Detchd,2003,Unf,1,384,TA,TA,Y,0,0,0,259,0,NA,NA,NA,0,7,Normal,153575
RL,15611,Pave,CollgCr,1Fam,8,5,VinylSd,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1079,1079,Y,1079,840,0,1919,0,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2006,RFn,2,685,Gd,TA,Y,0,51,0,0,0,NA,NA,NA,0,7,Partial,233230
RL,5687,Pave,SWISU,2fmCon,5,6,VinylSd,TA,Fa,PConc,TA,Fa,No,Rec,210,Unf,0,570,780,N,936,780,0,1716,1,0,2,0,6,1,Fa,9,Typ,0,NA,NA,NA,NA,0,0,NA,NA,N,0,184,0,0,0,NA,NA,NA,0,3,Normal,135900
RL,11409,Pave,Edwards,1Fam,5,4,Wd Sdng,TA,TA,CBlock,TA,TA,No,LwQ,292,Unf,0,476,768,Y,1148,568,0,1716,0,0,1,1,3,1,TA,8,Min2,1,Gd,Attchd,1949,Unf,1,281,TA,TA,Y,0,0,0,160,0,NA,NA,NA,0,1,Normal,131000
RL,16659,Pave,NWAmes,1Fam,7,7,Plywood,TA,TA,CBlock,TA,TA,No,ALQ,795,Unf,0,0,795,Y,1468,795,0,2263,1,0,2,1,3,1,Gd,9,Typ,1,TA,Attchd,1977,Fin,2,539,TA,TA,Y,0,250,0,0,0,NA,NA,NA,0,3,Normal,235000
RL,9600,Pave,NAmes,1Fam,6,5,HdBoard,TA,TA,CBlock,TA,TA,No,GLQ,1285,Unf,0,131,1416,Y,1644,0,0,1644,1,0,1,0,3,1,TA,7,Typ,2,Gd,Attchd,1953,Fin,2,418,TA,TA,Y,110,0,0,0,0,NA,NA,NA,0,10,Normal,167000
RL,7937,Pave,Mitchel,1Fam,6,6,HdBoard,TA,TA,CBlock,TA,TA,Av,GLQ,819,Unf,0,184,1003,Y,1003,0,0,1003,1,0,1,0,3,1,TA,6,Typ,0,NA,Detchd,1984,Unf,2,588,TA,TA,Y,120,0,0,0,0,NA,GdPrv,NA,0,3,Normal,142500
RM,13710,Pave,IDOTRR,1Fam,5,5,Wd Sdng,TA,TA,CBlock,TA,TA,No,BLQ,420,Unf,0,490,910,Y,910,648,0,1558,0,0,1,1,4,1,TA,6,Typ,0,NA,Attchd,1950,Unf,1,282,TA,TA,Y,289,0,0,0,0,NA,MnPrv,NA,0,6,Normal,152000
FV,7399,Pave,Somerst,1Fam,7,5,VinylSd,Gd,TA,PConc,Gd,TA,No,BLQ,649,Unf,0,326,975,Y,975,975,0,1950,0,0,2,1,3,1,Gd,7,Typ,1,TA,Detchd,1997,RFn,2,576,TA,TA,Y,0,10,0,198,0,NA,NA,NA,0,6,Normal,239000
RL,11700,Pave,NWAmes,1Fam,6,6,HdBoard,Gd,TA,CBlock,TA,TA,No,ALQ,384,Rec,175,143,702,Y,1041,702,0,1743,0,1,1,2,3,1,TA,7,Typ,1,Gd,Attchd,1968,Unf,2,539,TA,TA,Y,224,0,0,0,0,NA,NA,NA,0,6,Normal,175000
RL,14000,Pave,Crawfor,1Fam,6,8,HdBoard,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,0,1092,1092,Y,1152,0,0,1152,0,1,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1950,Unf,1,300,TA,TA,Y,0,36,0,0,0,NA,GdPrv,NA,0,8,Family,158500
RL,15750,Pave,Crawfor,2fmCon,5,5,MetalSd,TA,TA,CBlock,TA,TA,Mn,BLQ,841,Unf,0,324,1165,Y,1336,0,0,1336,1,0,1,0,2,1,TA,5,Typ,2,Gd,Attchd,1953,Unf,1,375,TA,TA,Y,0,0,0,0,0,NA,NA,NA,0,6,Normal,157000
RL,16226,Pave,CollgCr,1Fam,8,5,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,281,Unf,0,747,1028,Y,1210,1242,0,2452,0,0,2,1,4,1,Gd,9,Typ,1,TA,BuiltIn,1998,Fin,2,683,TA,TA,Y,208,50,0,0,0,NA,NA,NA,0,5,Normal,267000
RL,13704,Pave,CollgCr,1Fam,7,5,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1541,1541,Y,1541,0,0,1541,0,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,2001,RFn,3,843,TA,TA,Y,468,81,0,0,0,NA,NA,NA,0,1,Normal,205000
RL,9800,Pave,CollgCr,1Fam,5,7,VinylSd,TA,TA,PConc,TA,TA,No,ALQ,894,Unf,0,0,894,Y,894,0,0,894,1,0,1,0,3,1,TA,5,Typ,0,NA,Attchd,1975,Unf,2,552,TA,TA,Y,256,0,0,0,0,NA,GdWo,NA,0,7,Abnorml,149900
RM,18386,Pave,OldTown,1Fam,7,9,CemntBd,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,1470,1470,Y,1675,1818,0,3493,0,0,3,0,3,1,Gd,10,Typ,1,Ex,Attchd,2003,Unf,3,870,TA,TA,Y,302,0,0,0,0,NA,NA,NA,0,5,Normal,295000
RL,10386,Pave,CollgCr,1Fam,8,5,CemntBd,Gd,TA,PConc,Gd,TA,No,GLQ,1464,Unf,0,536,2000,Y,2000,0,0,2000,1,0,2,0,3,1,Gd,8,Typ,0,NA,Attchd,2004,Fin,3,888,TA,TA,Y,168,0,0,0,0,NA,NA,NA,0,7,Normal,305900
RL,13474,Pave,SawyerW,1Fam,7,5,HdBoard,Gd,TA,CBlock,Gd,TA,No,ALQ,700,Unf,0,0,700,Y,1122,1121,0,2243,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1990,RFn,3,746,TA,TA,Y,127,44,224,0,0,NA,NA,NA,0,6,Normal,225000
RM,7920,Pave,IDOTRR,1Fam,6,7,MetalSd,TA,Fa,CBlock,TA,TA,No,Unf,0,Unf,0,319,319,Y,1035,371,0,1406,0,0,1,0,3,1,Fa,6,Typ,0,NA,NA,NA,NA,0,0,NA,NA,N,0,144,0,0,0,NA,MnPrv,NA,0,3,Normal,89500
RL,12342,Pave,Edwards,1Fam,4,5,VinylSd,TA,TA,CBlock,TA,TA,No,BLQ,262,Unf,0,599,861,Y,861,0,0,861,0,0,1,0,1,1,TA,4,Typ,0,NA,Detchd,1961,Unf,2,539,TA,TA,Y,158,0,0,0,0,NA,NA,NA,0,3,Normal,82500
RL,12378,Pave,NridgHt,1Fam,9,5,VinylSd,Gd,TA,PConc,Ex,TA,Gd,GLQ,1274,Unf,0,622,1896,Y,1944,0,0,1944,1,0,2,0,3,1,Ex,8,Typ,3,Ex,Attchd,2003,Fin,3,708,TA,TA,Y,208,175,0,0,0,NA,NA,NA,0,11,Normal,360000
RL,7685,Pave,Gilbert,1Fam,6,5,HdBoard,TA,TA,PConc,Gd,TA,No,ALQ,518,Unf,0,179,697,Y,697,804,0,1501,0,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,1993,Fin,2,420,TA,TA,Y,190,63,0,0,0,NA,NA,NA,0,5,Normal,165600
RL,8000,Pave,NAmes,1Fam,6,6,VinylSd,TA,Gd,CBlock,TA,TA,No,ALQ,680,Unf,0,292,972,Y,972,0,0,972,1,0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,1948,Unf,1,240,TA,TA,Y,0,0,0,0,0,NA,NA,NA,0,5,Normal,132000
RM,7800,Pave,OldTown,2fmCon,5,7,MetalSd,TA,TA,CBlock,Gd,TA,Mn,Rec,507,Unf,0,286,793,Y,793,325,0,1118,1,0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,1939,Unf,2,410,TA,TA,Y,0,0,0,271,0,NA,MnPrv,NA,0,5,Normal,119900
RL,215245,Pave,Timber,1Fam,7,5,BrkFace,TA,TA,CBlock,Gd,TA,Gd,ALQ,1236,Rec,820,80,2136,Y,2036,0,0,2036,2,0,2,0,3,1,TA,8,Typ,2,Gd,Attchd,1965,RFn,2,513,TA,TA,Y,0,0,0,0,0,NA,NA,NA,0,6,Normal,375000
RM,9600,Pave,OldTown,1Fam,7,7,Wd Sdng,TA,TA,BrkTil,TA,Gd,No,LwQ,16,Unf,0,712,728,Y,832,809,0,1641,0,1,1,1,3,1,Ex,6,Typ,1,Gd,Detchd,1925,Unf,2,546,Fa,TA,Y,0,0,234,0,0,NA,NA,NA,0,8,Normal,178000
RL,7795,Pave,Gilbert,1Fam,7,5,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,425,Unf,0,291,716,Y,716,716,0,1432,1,0,2,1,3,1,Gd,6,Typ,1,Gd,Attchd,2004,Fin,2,432,TA,TA,Y,100,51,0,0,0,NA,NA,NA,0,7,Normal,188500
RL,13005,Pave,NWAmes,1Fam,7,7,CemntBd,Gd,TA,CBlock,Gd,TA,No,GLQ,692,Unf,0,153,845,Y,1153,1200,0,2353,1,0,2,1,4,1,Ex,10,Typ,1,TA,Attchd,1983,RFn,2,484,TA,TA,Y,288,195,0,0,0,NA,GdPrv,NA,0,8,Normal,260000
FV,9000,Pave,Somerst,1Fam,8,5,VinylSd,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1088,1088,Y,1088,871,0,1959,0,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2006,RFn,3,1025,TA,TA,Y,208,46,0,0,0,NA,NA,NA,0,12,Normal,270000
RL,9900,Pave,NoRidge,1Fam,7,5,HdBoard,Gd,TA,PConc,Gd,TA,Gd,GLQ,987,Unf,0,360,1347,Y,1372,1274,0,2646,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1993,RFn,3,656,TA,TA,Y,340,60,144,0,0,NA,NA,NA,0,4,Normal,260000
RL,14115,Pave,NWAmes,1Fam,7,5,Plywood,TA,TA,CBlock,Gd,TA,Av,GLQ,1036,Unf,0,336,1372,Y,1472,0,0,1472,1,0,2,0,3,1,TA,6,Typ,2,TA,Attchd,1980,Unf,2,588,TA,TA,Y,233,48,0,0,0,NA,NA,NA,0,6,Normal,187500
RL,16259,Pave,NridgHt,1Fam,9,5,VinylSd,TA,TA,PConc,Ex,Gd,Av,Unf,0,Unf,0,1249,1249,Y,1249,1347,0,2596,0,0,3,1,4,1,Gd,9,Typ,0,NA,Attchd,2006,RFn,3,840,TA,TA,Y,240,154,0,0,0,NA,NA,NA,0,9,Partial,342643
RL,12099,Pave,NridgHt,1Fam,8,5,VinylSd,Gd,TA,PConc,Ex,TA,Av,GLQ,970,Unf,0,166,1136,Y,1136,1332,0,2468,1,0,2,1,4,1,Gd,10,Typ,1,Gd,BuiltIn,2004,Fin,3,872,TA,TA,Y,184,154,0,0,0,NA,NA,NA,0,6,Normal,354000
RL,10380,Pave,SawyerW,1Fam,7,5,Plywood,Gd,TA,CBlock,TA,TA,Gd,LwQ,28,ALQ,1474,0,1502,Y,1553,1177,0,2730,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1987,Fin,2,576,TA,TA,Y,201,96,0,0,0,NA,MnPrv,NA,0,8,Normal,301000
RM,5820,Pave,OldTown,1Fam,3,8,VinylSd,TA,Gd,CBlock,TA,TA,No,ALQ,256,Unf,0,906,1162,Y,1163,0,0,1163,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1955,Unf,1,220,Fa,TA,Y,142,98,0,0,0,NA,NA,NA,0,7,Normal,126175
RL,11275,Pave,NAmes,1Fam,7,7,Wd Sdng,Gd,Gd,CBlock,Gd,TA,No,Unf,0,Unf,0,710,710,Y,1898,1080,0,2978,0,0,2,1,5,1,Gd,11,Typ,1,Gd,BuiltIn,1961,Fin,2,564,TA,TA,Y,240,0,0,0,0,NA,NA,NA,0,6,Normal,242000
RM,5000,Pave,IDOTRR,1Fam,5,6,MetalSd,TA,TA,CBlock,TA,TA,Av,BLQ,116,Unf,0,604,720,N,803,0,0,803,0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1941,Unf,2,360,TA,TA,Y,0,0,244,0,0,NA,NA,NA,0,12,Normal,87000
RL,10846,Pave,Veenker,TwnhsE,8,5,BrkFace,Gd,TA,PConc,Gd,TA,Gd,GLQ,1619,Unf,0,100,1719,Y,1719,0,0,1719,2,0,1,1,1,1,Gd,6,Typ,2,Gd,Attchd,1993,Fin,2,473,TA,TA,Y,122,30,0,0,0,NA,NA,NA,0,5,Normal,324000
RL,11600,Pave,NAmes,1Fam,6,5,Wd Sdng,TA,TA,CBlock,TA,TA,No,Rec,565,Unf,0,818,1383,Y,1383,0,0,1383,0,0,1,1,3,1,TA,7,Typ,0,NA,Attchd,1960,RFn,1,292,TA,TA,Y,0,45,0,0,0,NA,NA,NA,0,4,Normal,145250
RL,11888,Pave,BrkSide,1Fam,6,6,Wd Sdng,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,844,844,N,1445,689,0,2134,0,0,2,0,5,1,Gd,10,Typ,0,NA,Detchd,1930,Unf,2,441,TA,TA,Y,0,60,268,0,0,NA,NA,NA,0,7,Normal,214500
RM,6402,Pave,IDOTRR,1Fam,5,5,Wd Sdng,TA,TA,PConc,TA,TA,Mn,Unf,0,Unf,0,596,596,N,596,596,0,1192,0,0,1,0,3,1,TA,6,Typ,0,NA,Detchd,1920,Unf,1,189,Fa,Fa,N,0,0,137,0,0,NA,GdWo,NA,0,7,Normal,78000
RL,10624,Pave,NAmes,Duplex,5,4,HdBoard,TA,TA,CBlock,TA,TA,No,GLQ,40,Rec,264,1424,1728,Y,1728,0,0,1728,0,1,2,0,6,2,TA,10,Typ,0,NA,Detchd,2002,Unf,1,352,TA,TA,Y,155,0,0,0,0,NA,NA,NA,0,11,Normal,119000
RL,8176,Pave,NAmes,1Fam,5,6,Wd Sdng,TA,TA,CBlock,TA,TA,No,Rec,846,Unf,0,210,1056,Y,1056,0,0,1056,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1958,RFn,1,308,TA,TA,Y,0,0,0,0,0,NA,NA,NA,0,8,Normal,139000
RL,10655,Pave,NridgHt,1Fam,8,5,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,1124,NA,479,1603,3206,Y,1629,0,0,1629,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2003,RFn,3,880,TA,TA,Y,0,0,0,0,0,NA,NA,NA,0,10,Normal,284000
RM,8198,Pave,NridgHt,TwnhsE,7,5,VinylSd,Gd,TA,PConc,Gd,TA,Av,GLQ,720,Unf,0,638,1358,Y,1358,0,0,1358,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2004,RFn,2,484,TA,TA,Y,192,30,0,0,0,NA,NA,NA,0,7,Normal,207000
RL,9042,Pave,Gilbert,1Fam,6,5,VinylSd,TA,TA,PConc,Gd,TA,Gd,GLQ,828,Unf,0,115,943,Y,943,695,0,1638,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1998,Fin,2,472,TA,TA,Y,100,38,0,0,0,NA,NA,NA,0,7,Normal,192000
RL,164660,Grvl,Timber,2fmCon,5,6,Plywood,TA,TA,CBlock,TA,TA,Gd,ALQ,1249,BLQ,147,103,1499,Y,1619,167,0,1786,2,0,2,0,3,1,TA,7,Typ,2,Gd,Attchd,1965,Fin,2,529,TA,TA,Y,670,0,0,0,0,NA,NA,Shed,700,8,Normal,228950
RL,14157,Pave,StoneBr,1Fam,9,5,VinylSd,Gd,TA,PConc,Ex,TA,Gd,GLQ,1249,Unf,0,673,1922,Y,1922,0,0,1922,1,0,2,0,3,1,Gd,8,Typ,1,Gd,Attchd,2005,Fin,3,676,TA,TA,Y,178,51,0,0,0,NA,NA,NA,0,7,Normal,377426
RL,9135,Pave,CollgCr,1Fam,7,5,VinylSd,Gd,TA,PConc,Gd,TA,Av,GLQ,810,Unf,0,726,1536,Y,1536,0,0,1536,1,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2002,RFn,2,532,TA,TA,Y,192,74,0,0,0,NA,NA,NA,0,12,Normal,214000
RL,14145,Pave,NWAmes,1Fam,7,7,Wd Sdng,Gd,TA,CBlock,Gd,TA,Mn,ALQ,213,Unf,0,995,1208,Y,1621,0,0,1621,1,0,2,0,3,1,Gd,8,Typ,0,NA,Attchd,1984,RFn,2,440,TA,TA,Y,108,45,0,0,0,NA,NA,Shed,400,5,Normal,202500
RL,12400,Pave,NAmes,1Fam,6,7,Wd Sdng,TA,TA,CBlock,TA,Fa,No,Rec,585,Unf,0,630,1215,Y,1215,0,0,1215,0,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1958,Unf,1,297,TA,TA,Y,0,0,0,234,0,NA,NA,NA,0,6,Normal,155000
RL,14191,Pave,Timber,1Fam,8,5,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,967,967,Y,993,915,0,1908,0,0,2,1,4,1,Gd,9,Typ,0,NA,Attchd,2002,Fin,2,431,TA,TA,Y,135,0,0,0,0,NA,NA,NA,0,4,Normal,202900
RH,8400,Pave,SawyerW,1Fam,4,4,Wd Sdng,Fa,Fa,CBlock,TA,Fa,No,Unf,0,Unf,0,721,721,Y,841,0,0,841,0,0,1,0,2,1,TA,4,Typ,0,NA,CarPort,1950,Unf,1,294,TA,TA,N,250,0,24,0,0,NA,NA,NA,0,9,Normal,82000
RL,8544,Pave,NAmes,Duplex,3,4,Stucco,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,0,N,1040,0,0,1040,0,0,2,0,2,2,TA,6,Typ,0,NA,Detchd,1949,Unf,2,400,TA,TA,Y,0,0,0,0,0,NA,NA,NA,0,5,Normal,87500
RL,8849,Pave,NridgHt,TwnhsE,9,5,MetalSd,Ex,TA,PConc,Ex,TA,No,GLQ,28,Unf,0,1656,1684,Y,1684,0,0,1684,0,0,2,0,2,1,Ex,6,Typ,1,Ex,Attchd,2005,RFn,2,564,TA,TA,Y,495,72,0,0,0,NA,NA,NA,0,7,Normal,266000
RM,2592,Pave,MeadowV,TwnhsE,5,3,CemntBd,TA,TA,CBlock,Gd,TA,No,Rec,129,BLQ,232,175,536,Y,536,576,0,1112,0,0,1,1,3,1,TA,4,Typ,0,NA,Attchd,1976,Unf,1,336,TA,TA,Y,182,0,0,0,0,NA,NA,NA,0,4,Normal,85000
RL,6435,Pave,BrkSide,1Fam,6,5,MetalSd,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,972,972,Y,972,605,0,1577,0,0,1,0,3,1,Fa,6,Typ,1,Gd,Detchd,1939,Unf,1,312,TA,TA,Y,0,0,0,0,0,NA,NA,NA,0,10,Normal,140200
RL,12772,Pave,NAmes,1Fam,6,8,MetalSd,TA,Gd,CBlock,TA,TA,Mn,BLQ,498,Unf,0,460,958,Y,958,0,0,958,0,0,1,0,2,1,TA,5,Typ,0,NA,Attchd,1960,RFn,1,301,TA,TA,Y,0,0,0,0,0,NA,NA,Gar2,15500,4,Normal,151500
RL,17600,Pave,NAmes,1Fam,6,5,Wd Sdng,TA,TA,CBlock,TA,TA,No,BLQ,1270,Unf,0,208,1478,Y,1478,0,0,1478,1,0,2,0,3,1,TA,6,Typ,2,Gd,Attchd,1960,Unf,2,498,TA,TA,Y,0,40,0,0,0,NA,NA,NA,0,12,Normal,157500
RL,2448,Pave,NridgHt,Twnhs,7,5,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,573,Unf,0,191,764,Y,764,862,0,1626,1,0,2,1,2,1,Gd,6,Typ,0,NA,BuiltIn,2003,RFn,2,474,TA,TA,Y,0,27,0,0,0,NA,NA,NA,0,10,Normal,154000
RL,20431,Pave,NridgHt,1Fam,9,5,CemntBd,Ex,TA,PConc,Ex,TA,No,GLQ,1410,Unf,0,438,1848,Y,1848,880,0,2728,1,0,2,1,4,1,Ex,10,Typ,2,Ex,Attchd,2006,Fin,3,706,TA,TA,Y,0,0,0,0,0,NA,NA,NA,0,4,Partial,437154
RL,7820,Pave,NridgHt,TwnhsE,9,5,MetalSd,Ex,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1869,1869,Y,1869,0,0,1869,0,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2007,RFn,2,617,TA,TA,Y,210,54,0,0,0,NA,NA,NA,0,12,Partial,318061
RL,5271,Pave,ClearCr,1Fam,7,5,Wd Sdng,TA,TA,PConc,Gd,TA,Gd,GLQ,1082,Unf,0,371,1453,Y,1453,0,0,1453,1,0,1,1,2,1,Gd,6,Typ,1,TA,Attchd,1986,RFn,2,445,TA,TA,Y,0,80,0,184,0,NA,NA,NA,0,12,Abnorml,190000
RL,9084,Pave,Edwards,1Fam,5,6,VinylSd,TA,TA,CBlock,TA,Fa,Mn,LwQ,236,Rec,380,0,616,N,616,495,0,1111,0,1,1,0,3,1,TA,5,Typ,0,NA,Detchd,1941,Unf,1,200,TA,Fa,Y,48,0,0,0,0,NA,NA,NA,0,3,Normal,95000
